id_venda,data_venda,hora_venda,id_produto,produto,categoria,cor,tamanho,quantidade,preco_unitario,desconto,valor_total,forma_pagamento,canal,id_cliente,id_vendedor
83,2026-09-17,19:15,67,Blusa Slim,Blusa,Preta,GG,4,275.2,165.12,935.68,Dinheiro,Física,560.0,7
84,2026-06-02,10:15,127,Bermuda X,Bermuda,Preta,P,4,40.62,0.0,162.48,Cartão de Crédito,Física,500.0,23
85,2026-04-16,09:45,56,Acessório Social,Acessório,Vermelha,M,4,170.32,0.0,681.28,Cartão de Crédito,Online,45.0,7
86,2026-07-13,12:45,117,Vestido Premium,Vestido,Preta,GG,3,56.77,0.0,"R$ 170,31",Crediário,Física,394.0,11
87,2026-03-29,10:15,3,Acessório Casual,Acessório,Preta,P,3,164.95,0.0,494.85,Cartão de Débito,Online,586.0,13
88,2026-05-18,13:30,21,Vestido Esporte,Vestido,Vermelha,GG,1,168.25,25.24,143.01,Cartão de Débito,Física,205.0,21
89,2026-03-03,12:15,17,Bermuda Social,Bermuda,Preta,P,1,90.49,9.05,81.44,Cartão de Débito,Online,95.0,15
90,2026-06-22,20:45,127,Bermuda X,Bermuda,Preta,P,2,40.62,0.0,81.24,Cartão de Crédito,Online,350.0,19
91,2026-05-19,14:45,109,Jaqueta Social,Jaqueta,Preta,GG,1,38.6,5.79,32.81,Dinheiro,Física,252.0,6
92,11-08-2026,16:15,114,Jaqueta Slim,Jaqueta,Azul,M,2,280.98,56.2,505.76,Cartão de Crédito,Física,62.0,18
93,2026-03-22,10:15,84,Jaqueta Esporte,Jaqueta,Branca,M,-1,75.93,45.56,258.16,Cartão de Débito,Física,,6
94,2026-07-30,21:30,127,Bermuda X,Bermuda,Preta,P,3,40.62,18.28,103.58,Crediário,Online,486.0,22
95,2026-06-16,12:15,135,Blusa Slim,Blusa,Vermelha,M,1,306.42,0.0,306.42,Cartão de Débito,Online,47.0,22
96,2026-05-30,11:30,157,Blusa Esporte,Blusa,Cinza,GG,4,126.53,0.0,506.12,Cartão de Crédito,Online,271.0,2
97,2026-07-28,12:00,6,Camiseta Casual,Camiseta,Vermelha,G,2,266.01,0.0,532.02,PIX,Online,539.0,5
98,2026-07-28,17:30,122,Blusa Premium,Blusa,Branca,M,2,337.75,0.0,675.5,PIX,Online,273.0,2
99,2026-06-27,12:30,151,Acessório Casual,Acessório,Branca,GG,1,299.55,29.96,269.59,PIX,Física,478.0,21
100,2026-06-13,14:45,12,Vestido Social,Vestido,Preta,P,4,206.86,82.74,744.7,Cartão de Crédito,Física,242.0,13
101,2026-03-04,17:30,24,Camiseta Esporte,Camiseta,Rosa,P,3,115.6,52.02,294.78,Crediário,Online,28.0,25
102,15/05/26,21:30,96,Camiseta Esporte,Camiseta,Azul,G,4,98.46,19.69,374.15,Dinheiro,Física,217.0,9
103,2026-09-23,17:30,13,Camiseta X,Camiseta,Preta,G,3,39.69,5.95,113.12,Cartão de Crédito,Online,405.0,17
104,2026-06-24,15:45,125,Calça Casual,Calça,Azul,G,1,90.39,0.0,90.39,Cartão de Crédito,Física,,2
105,2026-05-11,11:00,72,Blusa Slim,Blusa,Cinza,GG,2,334.5,0.0,669.0,Cartão de Débito,Online,308.0,18
106,2026-09-13,12:30,92,Acessório Casual,Acessório,Rosa,GG,3,97.33,43.8,248.19,Cartão de Crédito,Física,101.0,11
107,2026-03-05,15:15,116,Bermuda Casual,Bermuda,Branca,P,2,311.15,93.34,528.96,PIX,Física,,18
108,2026-03-05,13:15,58,Vestido Premium,Vestido,Verde,M,4,252.14,50.43,958.13,Cartão de Débito,Física,142.0,11
109,2026-04-01,16:45,12,Vestido Social,Vestido,Preta,P,1,206.86,0.0,"R$ 206,86",Dinheiro,Online,142.0,5
110,2026-06-18,12:00,7,Bermuda Slim,Bermuda,Branca,P,4,145.46,87.28,"494,56",Dinheiro,Online,91.0,14
111,2026-03-19,20:15,68,Bermuda Esporte,Bermuda,Branca,P,2,140.69,14.07,267.31,Cartão de Crédito,Online,75148.0,8
112,2026-05-26,10:45,126,Camiseta Esporte,Camiseta,Vermelha,GG,4,172.09,0.0,688.36,Cartão de Débito,Física,,11
113,2026-03-10,19:15,154,Blusa X,Blusa,Azul,M,1,290.09,14.5,275.59,Cartão de Débito,Física,109.0,3
114,2026-05-08,19:30,123,Calça Básica,Calça,Verde,G,3,173.04,0.0,519.12,Cartão de Crédito,Física,392.0,21
115,2026-07-26,12:15,19,Vestido Slim,Vestido,Verde,P,3,286.2,85.86,772.74,PIX,Física,70.0,5
116,2026-09-02,20:45,149,Blusa Slim,Blusa,Rosa,P,4,118.24,0.0,472.96,Cartão de Débito,Online,79.0,19
117,2026-04-16,20:45,169,Acessório Social,Acessório,Cinza,GG,3,323.67,97.1,873.91,Cartão de Crédito,Física,8.0,24
118,2026-04-10,21:30,94,Calça X,Calça,Cinza,GG,1,281.93,0.0,281.93,Dinheiro,Física,499.0,13
119,2026-08-08,19:15,38,Acessório Básica,Acessório,Preta,M,3,180.55,0.0,541.65,PIX,Física,410.0,18
120,2026-06-11,14:00,146,Bermuda Slim,Bermuda,Cinza,P,4,171.6,0.0,686.4,Cartão de Débito,Física,327.0,1
121,2026-03-11,17:30,20,Jaqueta Casual,Jaqueta,Preta,P,1,137.0,0.0,137.0,Cartão de Débito,Online,245.0,6
122,2026-09-22,15:00,102,Jaqueta Slim,Jaqueta,Azul,P,2,161.01,16.1,305.92,Cartão de Crédito,Física,103.0,18
123,2026-06-14,18:30,64,Acessório Slim,Acessório,Preta,M,2,175.19,35.04,315.34,Cartão de Débito,Física,350.0,10
124,2026-03-31,14:45,94,Calça X,Calça,Cinza,GG,3,281.93,0.0,845.79,Crediário,Física,428.0,18
125,2026-04-02,19:15,26,Calça Premium,Calça,Azul,P,3,318.11,0.0,954.33,Dinheiro,Física,44.0,15
126,2026-03-17,21:45,128,Acessório Casual,Acessório,Verde,G,3,182.31,0.0,546.93,Cartão de Crédito,Física,471.0,25
127,2026-03-15,21:00,89,Calça Premium,Calça,Verde,G,3,308.75,138.94,787.31,Crediário,Física,38.0,25
128,2026-03-02,19:30,14,Camiseta Esporte,Camiseta,Vermelha,GG,2,97.31,29.19,165.43,Crediário,Física,544.0,6
129,2026-09-04,10:00,138,Vestido Casual,Vestido,Branca,GG,3,108.94,49.02,277.8,Cartão de Crédito,Física,597.0,10
130,2026-06-25,10:45,170,Blusa Casual,Blusa,Vermelha,P,1,144.13,21.62,122.51,Cartão de Crédito,Online,500.0,10
131,2026-07-02,20:45,153,Calça Esporte,Calça,Azul,M,1,247.52,0.0,247.52,Cartão de Débito,Física,258.0,7
132,2026-07-02,13:30,90,Acessório Básica,Acessório,Rosa,M,-2,276.24,13.81,"262,43",Cartão de Crédito,Online,447.0,20
133,11/04/2026,11:15,4,Vestido X,Vestido,Azul,G,1,301.51,0.0,301.51,Cartão de Crédito,Física,84.0,13
134,2026-05-09,10:00,156,Acessório Casual,Acessório,Vermelha,M,4,219.44,43.89,833.87,Cartão de Crédito,Online,506.0,8
135,2026-05-15,10:30,61,Vestido Social,Vestido,Azul,P,2,77.96,7.8,148.12,Cartão de Débito,Física,202.0,15
136,2026-08-17,15:30,135,Blusa Slim,Blusa,Vermelha,M,1,306.42,30.64,275.78,Cartão de Débito,Online,420.0,12
137,2026-07-25,19:15,43,Jaqueta Premium,Jaqueta,Verde,P,1,36.09,0.0,"R$ 36,09",Cartão de Crédito,Online,68.0,23
138,2026-07-22,10:15,83,Vestido X,Vestido,Azul,P,1,40.75,0.0,40.75,PIX,Online,98.0,3
139,2026-08-15,09:45,94,Calça X,Calça,Cinza,GG,4,281.93,112.77,1014.95,Dinheiro,Física,459.0,21
140,2026-08-08, 21:30 ,168,Calça Básica,Calça,Cinza,M,2,218.06,65.42,370.7,Cartão de Débito,Online,20.0,15
141,2026-08-10,12:15,69,Jaqueta Premium,Jaqueta,Azul,G,4,266.09,0.0,1064.36,Cartão de Crédito,Física,235.0,20
142,2026-09-15,18:00,145,Camiseta Social,Camiseta,Branca,G,1,148.84,14.88,133.96,Cartão de Débito,Online,242.0,20
143,2026-06-29,10:00,116,Bermuda Casual,Bermuda,Branca,P,1,311.15,0.0,311.15,Cartão de Crédito,Online,335.0,16
144,2026-03-18,21:15,57,Blusa X,Blusa,Rosa,P,3,36.77,5.52,104.79,Cartão de Crédito,Física,353.0,17
145,2026-03-17,21:30,35,Acessório Básica,Acessório,Cinza,P,2,145.92,0.0,291.84,Crediário,Online,43.0,21
146,2026-05-07,14:00,109,Jaqueta Social,Jaqueta,Preta,GG,1,38.6,3.86,34.74,Pix,Online,384.0,7
147,2026-06-03,13:45,5251,Calça Casual,Calça,Branca,GG,3,37.57,0.0,112.71,Crediário,Física,513.0,25
148,2026-09-05,17:30,30,Jaqueta X,Jaqueta,Preta,GG,1,73.7,7.37,66.33,Cartão de Débito,Online,349.0,15
149,2026-07-27,17:00,22,Calça X,Calça,Vermelha,M,4,316.01,126.4,1137.64,Cartão de Débito,Online,582.0,2
150,2026-05-19,18:00,48,Vestido Casual,Vestido,Branca,GG,1,36.53,0.0,36.53,Cartão de Crédito,Física,446.0,1
151,2026-08-26,14:00,180,Camiseta Casual,Camiseta,Azul,GG,2,104.16,31.25,177.07,Cartão de Débito,Online,526.0,21
152,2026-05-08,19:30,120,Acessório Social,Acessório,Preta,GG,3,277.54,41.63,790.99,PIX,Física,565.0,25
153,2026-09-11,11:15,42,Jaqueta Esporte,Jaqueta,Verde,P,2,151.48,45.44,257.52,Cartão de Débito,Física,,24
154,2026-06-23,14:45,47,Calça Social,Calça,Vermelha,GG,4,108.69,0.0,434.76,PIX,Online,174.0,2
155,2026-05-15,19:15,59,Blusa Social,Blusa,Cinza,M,1,268.88,26.89,"R$ 241,99",Crediário,Online,484.0,18
156,2026-07-29,12:45,51,Calça Esporte,Calça,Cinza,G,2,199.02,59.71,338.33,Cartão de Débito,Física,342.0,1
157,2026-06-07,10:45,96,Camiseta Esporte,Camiseta,Azul,G,4,98.46,0.0,393.84,PIX,Física,480.0,14
158,2026-03-01,17:00,42,Jaqueta Esporte,Jaqueta,Verde,P,4,151.48,60.59,545.33,Crediário,Física,583.0,25
159,2026-04-13,14:15,144,Calça Slim,Calça,Cinza,M,2,196.89,0.0,393.78,PIX,Online,556.0,15
160,2026-04-06,18:00,142,Acessório Básica,Acessório,Azul,P,3,160.25,0.0,480.75,Cartão de Débito,Online,49.0,22
161,2026-08-21,18:15,170,Blusa Casual,Blusa,Vermelha,P,3,144.13,0.0,432.39,Cartão de Débito,Online,428.0,3
162,2026-03-16, 11:45 ,56,Acessório Social,Acessório,Vermelha,M,3,170.32,25.55,485.41,Dinheiro,Física,151.0,17
163,2026-03-01,18:30,109,Jaqueta Social,Jaqueta,Preta,GG,1,38.6,1.93,36.67,Cartão de Crédito,Física,409.0,8
164,2026-05-24,17:45,112,Camiseta Casual,Camiseta,Branca,GG,4,264.38,0.0,1057.52,cartao credito,Online,133.0,8
165,2026-03-17,09:00,13,Camiseta X,Camiseta,Preta,G,3,39.69,17.86,101.21,Crediário,Física,416.0,5
166,2026-08-17,11:00,58,Vestido Premium,Vestido,Verde,M,1,252.14,0.0,252.14,PIX,Física,243.0,23
167,2026-07-27,21:15,105,Camiseta Básica,Camiseta,Rosa,G,2,253.97,76.19,431.75,PIX,Física,325.0,14
168,2026-07-11,20:30,81,Blusa Social,Blusa,Rosa,M,4,154.72,0.0,618.88,Cartão de Débito,Física,154.0,9
169,2026-08-15,19:15,34,Acessório Básica,Acessório,Rosa,GG,1,95.07,0.0,95.07,Cartão de Débito,Física,568.0,24
170,2026-08-03,12:15,50,Blusa Slim,Blusa,Branca,M,3,266.9,0.0,800.7,Cartão de Crédito,Física,409.0,7
171,2026-03-19,15:00,86,Acessório X,Acessório,Rosa,M,1,318.79,0.0,318.79,Dinheiro,Física,47.0,24
172,2026-05-12,16:15,111,Camiseta Básica,Camiseta,Vermelha,M,4,145.87,58.35,525.13,Dinheiro,Física,555.0,21
173,13/04/2026,18:30,134,Calça Casual,Calça,Vermelha,M,4,149.43,0.0,597.72,Cartão de Débito,Online,426.0,22
174,2026-03-10,21:30,3,Acessório Casual,Acessório,Preta,P,3,164.95,0.0,494.85,PIX,Online,433.0,19
175,2026-08-29,18:30,73,Jaqueta Básica,Jaqueta,Preta,M,3,71.22,10.68,202.98,PIX,Física,344.0,23
176,2026-05-12,18:45,108,Calça Premium,Calça,Azul,M,4,79.58,0.0,318.32,Cartão de Crédito,Online,479.0,13
177,2026-07-11,17:45,137,Calça Esporte,Calça,Branca,G,2,120.05,24.01,216.09,Cartão de Débito,Física,466.0,15
178,2026-06-16,12:00,86,Acessório X,Acessório,Rosa,M,4,318.79,0.0,1275.16,Dinheiro,Física,272.0,23
179,2026-09-13,18:15,157,Blusa Esporte,Blusa,Cinza,GG,4,126.53,50.61,455.51,Cartão de Débito,Física,388.0,17
180,2026-03-12,18:00,175,Jaqueta Casual,Jaqueta,Azul,P,2,48.8,0.0,97.6,CARTÃO DE CRÉDITO,Online,26.0,4
181,2026-06-01,20:15,5,Bermuda Casual,Bermuda,Preta,M,4,252.59,50.52,959.84,PIX,Física,291.0,20
182,2026-03-09,19:30,53,Jaqueta X,Jaqueta,Verde,M,3,291.49,0.0,874.47,Cartão de Débito,Online,365.0,15
183,2026-04-02,10:30,6,Camiseta Casual,Camiseta,Vermelha,G,2,266.01,79.8,452.22,Cartão de Débito,Física,146.0,21
184,2026-04-20,11:15,149,Blusa Slim,Blusa,Rosa,P,3,118.24,0.0,354.72,Cartão de Débito,Física,239.0,1
185,2026-06-30,17:30,149,Blusa Slim,Blusa,Rosa,P,2,118.24,0.0,"236,48",Cartão de Crédito,Online,323.0,12
186,2026-03-06,21:00,116,Bermuda Casual,Bermuda,Branca,P,2,311.15,0.0,622.3,Dinheiro,Online,147.0,23
187,2026-07-25,17:30,21,Vestido Esporte,Vestido,Vermelha,GG,4,168.25,0.0,673.0,Crediário,Online,23.0,13
188,2026-03-03,18:15,109,Jaqueta Social,Jaqueta,Preta,GG,4,38.6,0.0,154.4,Cartão de Débito,Física,340.0,24
189,2026-09-16,19:00  ,87,Camiseta Básica,Camiseta,Branca,M,1,174.19,17.42,156.77,Cartão de Crédito,Online,457.0,14
190,2026-06-07,13:30,172,Bermuda X,Bermuda,Azul,P,1,131.52,6.58,124.94,Crediário,Física,53.0,22
191,2026-09-25,11:15,31,Camiseta Slim,Camiseta,Verde,M,2,153.72,0.0,307.44,Cartão de Débito,Física,555.0,20
192,2026-08-22,11:00,171,Bermuda Casual,Bermuda,Preta,P,2,227.85,0.0,455.7,Cartão de Débito,Online,358.0,19
193,2026-06-18,14:15,26,Calça Premium,Calça,Azul,P,4,318.11,63.62,1208.82,pix,Online,203.0,5
194,2026-08-18,12:15,27,Vestido Casual,Vestido,Preta,GG,4,324.09,194.45,1101.91,PIX,Online,186.0,1
195,2026-04-30,21:45,78,Blusa Social,Blusa,Rosa,P,2,91.57,0.0,183.14,Cartão de Débito,Online,226.0,8
196,2026-03-16,19:00,70,Vestido Esporte,Vestido,Azul,M,1,285.87,0.0,285.87,Cartão de Débito,Física,519.0,7
197,2026-09-25,18:30,157,Blusa Esporte,Blusa,Cinza,GG,2,126.53,12.65,240.41,Cartão de Crédito,Online,351.0,18
198,2026-05-03,13:15,142,Acessório Básica,Acessório,Azul,P,3,160.25,0.0,480.75,Cartão de Crédito,Online,176.0,1
199,2026-05-19, 15:15 ,95,Vestido X,Vestido,Vermelha,GG,3,146.94,66.12,374.7,Cartão de Débito,Física,392.0,13
200,2026-09-20,11:30,86,Acessório X,Acessório,Rosa,M,2,318.79,63.76,573.82,Cartão de Débito,Física,574.0,15
201,2026-06-08,12:30,134,Calça Casual,Calça,Vermelha,M,1,149.43,0.0,149.43,Cartão de Débito,Online,291.0,13
202,2026-09-05,16:00,61,Vestido Social,Vestido,Azul,P,2,77.96,0.0,155.92,Cartão de Crédito,Online,137.0,1
203,2026-06-11,12:45,44,Calça Básica,Calça,Rosa,GG,1,51.2,0.0,"51,20",PIX,Física,416.0,7
204,2026-07-21,17:45,150,Calça Básica,Calça,Azul,P,3,158.86,0.0,476.58,Cartão de Crédito,Física,556.0,13
205,2026-06-03,11:45,104,Jaqueta Premium,Jaqueta,Verde,P,3,187.44,56.23,506.09,Dinheiro,Online,32.0,6
206,2026-03-30,21:00,39,Jaqueta Slim,Jaqueta,Verde,M,4,247.63,49.53,940.99,PIX,Física,289.0,24
207,2026-05-25,10:30,97,Jaqueta X,Jaqueta,Vermelha,M,4,233.22,139.93,792.95,PIX,Online,,14
208,2026-06-19,21:30,168,Calça Básica,Calça,Cinza,M,1,218.06,10.9,207.16,Cartão de Débito,Online,11.0,11
209,2026-05-25,09:00,74,Blusa Slim,Blusa,Azul,G,2,131.19,26.24,236.14,Dinheiro,Física,,19
